index,type,start_ms,duration_ms,units
356,SPACE,230.876875,0.411687,1
357,MARK,231.288562,0.387937,1
358,SPACE,231.676500,0.826625,2
359,MARK,232.503125,0.903500,2
360,SPACE,233.406625,0.413938,1
361,MARK,233.820562,0.774500,2
362,SPACE,234.595063,0.412187,1
363,MARK,235.007250,0.387937,1
364,SPACE,235.395187,0.413562,1
365,MARK,235.808750,0.387062,1
366,SPACE,236.195812,0.928937,2
367,MARK,237.124750,1.421812,3
368,SPACE,238.546562,0.412062,1
369,MARK,238.958625,0.388313,1
370,SPACE,239.346937,0.413813,1
371,MARK,239.760750,0.388063,1
372,SPACE,240.148812,0.411937,1
373,MARK,240.560750,0.388313,1
374,SPACE,240.949062,1.343313,3
375,MARK,242.292375,2.062688,5
376,SPACE,244.355063,0.415438,1
377,MARK,244.770500,0.386813,1
378,SPACE,245.157312,0.411687,1
379,MARK,245.569000,0.387812,1
380,SPACE,245.956813,0.826750,2
381,MARK,246.783562,0.774625,2
382,SPACE,247.558188,0.412438,1
383,MARK,247.970625,0.904875,2
384,SPACE,248.875500,0.412125,1
385,MARK,249.287625,0.388000,1
386,SPACE,249.675625,0.413625,1
387,MARK,250.089250,0.387625,1
388,SPACE,250.476875,0.928187,2
389,MARK,251.405062,1.421938,3
390,SPACE,252.827000,0.413438,1
391,MARK,253.240438,0.386938,1
392,SPACE,253.627375,0.413813,1
393,MARK,254.041187,0.387937,1
394,SPACE,254.429125,0.412062,1
395,MARK,254.841188,0.388937,1
396,SPACE,255.230125,1.342750,3
397,MARK,256.572875,1.933750,5
398,SPACE,258.506625,0.414062,1
399,MARK,258.920688,0.517063,1
400,SPACE,259.437750,0.412875,1
401,MARK,259.850625,0.386625,1
402,SPACE,260.237250,0.826812,2
403,MARK,261.064063,0.775312,2
404,SPACE,261.839375,0.411625,1
405,MARK,262.251000,0.904938,2
406,SPACE,263.155937,0.413375,1
407,MARK,263.569312,0.386750,1
408,SPACE,263.956062,0.413500,1
409,MARK,264.369562,0.387750,1
410,SPACE,264.757313,0.928187,2
411,MARK,265.685500,1.292938,3
412,SPACE,266.978437,0.412938,1
413,MARK,267.391375,0.516437,1
414,SPACE,267.907813,0.414875,1
415,MARK,268.322687,0.386875,1
416,SPACE,268.709563,0.412125,1
417,MARK,269.121688,0.388750,1
418,SPACE,269.510437,1.342875,3
419,MARK,270.853313,1.934625,5
420,SPACE,272.787937,0.413250,1
421,MARK,273.201188,0.388125,1
422,SPACE,273.589313,0.412500,1
423,MARK,274.001812,0.515938,1
424,SPACE,274.517750,0.827875,2
425,MARK,275.345625,0.774188,2
426,SPACE,276.119813,0.411625,1
427,MARK,276.531437,0.775938,2
428,SPACE,277.307375,0.413125,1
429,MARK,277.720500,0.516062,1
430,SPACE,278.236562,0.414437,1
431,MARK,278.651000,0.386813,1
432,SPACE,279.037812,0.928250,2
433,MARK,279.966063,1.293813,3
434,SPACE,281.259875,0.411937,1
435,MARK,281.671812,0.387437,1
436,SPACE,282.059250,0.414812,1
437,MARK,282.474063,0.515938,1
438,SPACE,282.990000,0.414250,1
439,MARK,283.404250,0.386625,1
440,SPACE,283.790875,1.342875,3
441,MARK,285.133750,1.934500,5
442,SPACE,287.068250,0.413375,1
443,MARK,287.481625,0.388875,1
444,SPACE,287.870500,0.411750,1
445,MARK,288.282250,0.387375,1
446,SPACE,288.669625,0.827313,2
447,MARK,289.496938,0.903375,2
448,SPACE,290.400312,0.411687,1
449,MARK,290.812000,0.776875,2
450,SPACE,291.588875,0.412062,1
451,MARK,292.000938,0.386938,1
452,SPACE,292.387875,0.414563,1
453,MARK,292.802437,0.515938,1
454,SPACE,293.318375,0.930437,2
455,MARK,294.248812,1.291375,3
456,SPACE,295.540188,0.412125,1
457,MARK,295.952313,0.388250,1
458,SPACE,296.340563,0.413875,1
459,MARK,296.754438,0.387000,1
460,SPACE,297.141437,0.413000,1
461,MARK,297.554438,0.517063,1
462,SPACE,298.071500,1.342563,3
463,MARK,299.414062,1.934687,5
464,SPACE,301.348750,0.413312,1
465,MARK,301.762062,0.388937,1
466,SPACE,302.151000,0.411687,1
467,MARK,302.562687,0.387937,1
468,SPACE,302.950625,0.826625,2
469,MARK,303.777250,0.903500,2
470,SPACE,304.680750,0.413938,1
471,MARK,305.094688,0.774500,2
472,SPACE,305.869187,0.412187,1
473,MARK,306.281375,0.387937,1
474,SPACE,306.669312,0.413562,1
475,MARK,307.082875,0.387062,1
476,SPACE,307.469938,0.928875,2
477,MARK,308.398813,1.421875,3
